型号,产品名称,产品类型,系列,产品组件,开箱配件/装箱清单,组件抽取状态,组件来源关键词,配件抽取状态,配件来源关键词,来源PDF,PDF链接,型号重复次数,组件来源片段,配件来源片段
EUF206-2,EUF206-2型直饮净水机,反渗透净水机,反渗透净水机,"本产品的所有组件都包含在单一包装箱内，其中包括以下组件
净水机机头、顶盖及侧盖
含有固定螺钉和垫圈的零件袋
两支滤芯
油脂袋和管接头配件包
水龙头及相关配件的组件包
产品","在单一包装箱内，其中包括以下组件
净水机机头、顶盖及侧盖
含有固定螺钉和垫圈的零件袋
两支滤芯
油脂袋和管接头配件包
水龙头及相关配件的组件包
产品",found,产品组件,found,本产品的所有组件都包含,EUF206-2型直饮净水机.pdf,../EUF206-2型直饮净水机.pdf,1,本产品的所有组件都包含在单一包装箱内，其中包括以下组件： （1）净水机机头、顶盖及侧盖 （5） 含有固定螺钉和垫圈的零件袋 （2） 两支滤芯 （6） 油脂袋和管接头配件包 （3） 水龙头及相关配件的组件包 （7） 产品,在单一包装箱内，其中包括以下组件： （1）净水机机头、顶盖及侧盖 （5） 含有固定螺钉和垫圈的零件袋 （2） 两支滤芯 （6） 油脂袋和管接头配件包 （3） 水龙头及相关配件的组件包 （7） 产品
100,EVOLUTION 100 Compact型软水机说明书,软水机,软水机,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,EVOLUTION 100 Compact型软水机说明书.pdf,../EVOLUTION 100 Compact型软水机说明书.pdf,1,,
EWD300,EWD300壁挂管线机说明书,管线机/饮水机,管线机/饮水机,"产品安装
使用说明
注意事项
故障诊断
环保清单
感谢您使用怡口牌EWD300温热式壁挂管线机。在此之前
为了正确使用和","名称
管线机
挂架
挂墻固定自攻螺丝
膨胀管
3分PE管
三分T型三通
三分转二分T型三通",found,结构示意图,found,装箱清单,EWD300壁挂管线机说明书.pdf,../EWD300壁挂管线机说明书.pdf,1,产品安装 使用说明 注意事项 故障诊断 环保清单 1 1 ］ 2 2 3 3 4 6 8 感谢您使用怡口牌EWD300温热式壁挂管线机。在此之前，为了正确使用和维护本产品，请仔 细阅读说明书，如在产品使用过程中发生问题，请及时参考本说明书，因违反注意事项而发生的事故， 本公司概不负责，请妥善保管本说明书，以备查阅。 产品介绍 •本产品适用水源为纯净水，使用厚膜加热技术，多档调温秒速加热，多档取水，即热即饮。 •卫生质量：符合《生活饮用水输配水设备及防护材料卫生安全评价规范》（2001）要求,名称 管线机 挂架 挂墻固定自攻螺丝 膨胀管 3分PE管 三分T型三通 三分转二分T型三通 保修卡 滤网管插 数量 1台 1个 5个 5个 1.5米 1个 1个 1张 1个
EWD500,EWD500管线机,管线机/饮水机,管线机/饮水机,"461mm
接水盒
290mm
5mm
图片仅供参考
请以实物为准
电源开关
3分进水口","序号
名称
管线机
挂架
挂墙固定自攻螺丝
膨胀管
3分PE管
三通接头",found,结构示意图,found,装箱清单,EWD500管线机.pdf,../EWD500管线机.pdf,1,988. 461mm ◎ 0 0 接水盒 290mm 185.5mm 图片仅供参考，请以实物为准 电源开关 3分进水口 产品安装 •确认管线机要安装的位置；（注：该机型应配套RO机使用） •确认安装所需的工具：冲击钻、十字螺丝刀、管剪； •请按照说明书中的装箱清单核对安装配件是否齐全； 。,序号 1 2 3 4 5 6 7 8 名称 管线机 挂架 挂墙固定自攻螺丝 膨胀管 3分PE管 三通接头 保修卡 滤网管插 数量 1台 1个 5个 5个 2米 2个 1张 1个
EWD501-WM,EWD501-WM怡口说明书,管线机/饮水机,管线机/饮水机,未在可识别正文中找到明确产品组件清单,"技术参数
外观示意图
安装与调试
吏用说明…•
主意事项……..
产品中食品接触材料列表
放障现象",not_found,,found,装箱清单,EWD501-WM怡口说明书.pdf,../EWD501-WM怡口说明书.pdf,1,,技术参数 外观示意图 安装与调试 吏用说明…• 主意事项…….. 产品中食品接触材料列表 放障现象 故障代码及排除方法 电子信息产品有毒有害物质声明 呆修说明…… 产品保养及维修记录， 呆修卡… 1 1 1 2 2 3 E9OWATER SINCE1925. 8 9 10 11 12 服务热线：400-887-0190 装生广：昆山信山净水系统自限公司 公司地址：江苏省昆山市玉山镇玉杨路 366号5号房和4号房 惑谢您使用怡口牌EWD501-WM即热式壁挂管线机。在此之前，为了正确使用和
EWD600S,EWD600S 700S壁挂即热饮水机说明书,管线机/饮水机,管线机/饮水机,"产品安装
使用说明
注意事项
故障诊断
环保清单","名称 管线机 挂架 挂墻固定自攻螺丝 膨胀管 3分PE管 三通接头 说明书 L型接头（三分转两分） 数量 1台 1个 5个 5个 2个 1本 1个 技术参数 EWD600S 产品型...
卫水字（2022）第0532号 GB 4706.1-2005 ;GB 4706.19-2008;Q/320583 AYYKO12-2022 输出水质符合《生活饮用水输配水设备及防护...",found,结构示意图,found,装箱清单,EWD600S 700S壁挂即热饮水机说明书.pdf,../EWD600S 700S壁挂即热饮水机说明书.pdf,1,产品安装 使用说明 注意事项 故障诊断 环保清单 质保条款 产品保养及维修记录 怡口产品保修卡 1 1 ］ 2 2 3 3 4 7 9 10 11 12 13 感谢您使用怡口牌EWD600S/EWD700S即热式壁挂管线机。在此之前，为了正确使用和,"名称 管线机 挂架 挂墻固定自攻螺丝 膨胀管 3分PE管 三通接头 说明书 L型接头（三分转两分） 数量 1台 1个 5个 5个 2个 1本 1个 技术参数 EWD600S 产品型号 额定电压 额定频率 制热功率 额定总功率 进水压力 环境温度 适用水温 制热水能力 外观差异 防触电保护类型 适用水源 卫生许可批准文号 执行标准 卫生质量 EWD700S 220V~ 50HZ 2100W 2150W 0.1MPa~0.4MPa 4°C~40°C 5°C~38°C ≥90°C,23L/h 白色 深空灰色 I类 纯净水"
EWD700S,EWD600S 700S壁挂即热饮水机说明书,管线机/饮水机,管线机/饮水机,"产品安装
使用说明
注意事项
故障诊断
环保清单","名称 管线机 挂架 挂墻固定自攻螺丝 膨胀管 3分PE管 三通接头 说明书 L型接头（三分转两分） 数量 1台 1个 5个 5个 2个 1本 1个 技术参数 EWD600S 产品型...
卫水字（2022）第0532号 GB 4706.1-2005 ;GB 4706.19-2008;Q/320583 AYYKO12-2022 输出水质符合《生活饮用水输配水设备及防护...",found,结构示意图,found,装箱清单,EWD600S 700S壁挂即热饮水机说明书.pdf,../EWD600S 700S壁挂即热饮水机说明书.pdf,1,产品安装 使用说明 注意事项 故障诊断 环保清单 质保条款 产品保养及维修记录 怡口产品保修卡 1 1 ］ 2 2 3 3 4 7 9 10 11 12 13 感谢您使用怡口牌EWD600S/EWD700S即热式壁挂管线机。在此之前，为了正确使用和,"名称 管线机 挂架 挂墻固定自攻螺丝 膨胀管 3分PE管 三通接头 说明书 L型接头（三分转两分） 数量 1台 1个 5个 5个 2个 1本 1个 技术参数 EWD600S 产品型号 额定电压 额定频率 制热功率 额定总功率 进水压力 环境温度 适用水温 制热水能力 外观差异 防触电保护类型 适用水源 卫生许可批准文号 执行标准 卫生质量 EWD700S 220V~ 50HZ 2100W 2150W 0.1MPa~0.4MPa 4°C~40°C 5°C~38°C ≥90°C,23L/h 白色 深空灰色 I类 纯净水"
EWD600S700S,EWD600S700S OWNERS MANUAL-250718,管线机/饮水机,管线机/饮水机,"产品安装
使用说明
注意事项
故障诊断
环保清单","序号
名称
管线机
挂架
挂墙固定自攻螺丝
膨胀管
3分PE管
三通接头
说明书
L型接头（三分转两分）
数量
1台
1个
5个
2米
2个
1本",found,结构示意图,found,装箱清单,EWD600S700S OWNERS MANUAL-250718.pdf,../EWD600S700S OWNERS MANUAL-250718.pdf,1,产品安装 使用说明 注意事项 故障诊断 环保清单 质保条款. 产品保养及维修记录 怡口产品保修卡 1 2 2 3 3 4 7 9 10 11 12 13 感谢您使用怡口牌EWD600S/EWD700S即热式壁挂管线机。在此之前，为了正确使用和,序号 1 2 8 名称 管线机 挂架 挂墙固定自攻螺丝 膨胀管 3分PE管 三通接头 说明书 L型接头（三分转两分） 数量 1台 1个 5个 5个 2米 2个 1本 1个
EWSH-100,EWSH-100型反渗透直饮机,商用直饮,商用直饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,EWSH-100型反渗透直饮机.pdf,../EWSH-100型反渗透直饮机.pdf,1,,
EWSH-商用直饮水机说明书,EWSH-商用直饮水机说明书,商用直饮,商用直饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,EWSH-商用直饮水机说明书.pdf,../EWSH-商用直饮水机说明书.pdf,1,,
HF-75X,HF-75X 怡可飘,其他,怡可飘,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,HF-75X 怡可飘.pdf,../HF-75X 怡可飘.pdf,1,,
HF75X,HF-75X 怡可飘,其他,怡可飘,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,HF-75X 怡可飘.pdf,../HF-75X 怡可飘.pdf,1,,
KS1,KS1 ES301 柔爱系列,其他,柔爱系列,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,KS1 ES301 柔爱系列.pdf,../KS1 ES301 柔爱系列.pdf,1,,
ES301,KS1 ES301 柔爱系列,其他,柔爱系列,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,KS1 ES301 柔爱系列.pdf,../KS1 ES301 柔爱系列.pdf,1,,
M1,M1 EUF500-1 享爱系列,其他,享爱系列,"本产品的所有组件都包含在单一包装箱内，其中包括以下组件
EUF500-1型净水机机头
1支滤芯
随机配送1个水龙头，用户可根据需要另外增配
配有带颜色标记及一定长度的软管
电池、油脂袋和管接头配件包
螺钉两个（用于壁挂）
用户手册","在单一包装箱内，其中包括以下组件
EUF500-1型净水机机头
1支滤芯
随机配送1个水龙头，用户可根据需要另外增配
配有带颜色标记及一定长度的软管
电池、油脂袋和管接头配件包
螺钉两个（用于壁挂）
用户手册",found,产品组件,found,本产品的所有组件都包含,M1 EUF500-1 享爱系列.pdf,../M1 EUF500-1 享爱系列.pdf,1,本产品的所有组件都包含在单一包装箱内，其中包括以下组件： （1） EUF500-1型净水机机头 （2） 1支滤芯 （3） 随机配送1个水龙头，用户可根据需要另外增配 （4）配有带颜色标记及一定长度的软管 （5）电池、油脂袋和管接头配件包 （6） 螺钉两个（用于壁挂） （7） 用户手册,在单一包装箱内，其中包括以下组件： （1） EUF500-1型净水机机头 （2） 1支滤芯 （3） 随机配送1个水龙头，用户可根据需要另外增配 （4）配有带颜色标记及一定长度的软管 （5）电池、油脂袋和管接头配件包 （6） 螺钉两个（用于壁挂） （7） 用户手册
EUF500-1,M1 EUF500-1 享爱系列,其他,享爱系列,"本产品的所有组件都包含在单一包装箱内，其中包括以下组件
EUF500-1型净水机机头
1支滤芯
随机配送1个水龙头，用户可根据需要另外增配
配有带颜色标记及一定长度的软管
电池、油脂袋和管接头配件包
螺钉两个（用于壁挂）
用户手册","在单一包装箱内，其中包括以下组件
EUF500-1型净水机机头
1支滤芯
随机配送1个水龙头，用户可根据需要另外增配
配有带颜色标记及一定长度的软管
电池、油脂袋和管接头配件包
螺钉两个（用于壁挂）
用户手册",found,产品组件,found,本产品的所有组件都包含,M1 EUF500-1 享爱系列.pdf,../M1 EUF500-1 享爱系列.pdf,1,本产品的所有组件都包含在单一包装箱内，其中包括以下组件： （1） EUF500-1型净水机机头 （2） 1支滤芯 （3） 随机配送1个水龙头，用户可根据需要另外增配 （4）配有带颜色标记及一定长度的软管 （5）电池、油脂袋和管接头配件包 （6） 螺钉两个（用于壁挂） （7） 用户手册,在单一包装箱内，其中包括以下组件： （1） EUF500-1型净水机机头 （2） 1支滤芯 （3） 随机配送1个水龙头，用户可根据需要另外增配 （4）配有带颜色标记及一定长度的软管 （5）电池、油脂袋和管接头配件包 （6） 螺钉两个（用于壁挂） （7） 用户手册
MASF1,MASF1 清滤宝基本型,前置过滤器,清滤宝,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,MASF1 清滤宝基本型.pdf,../MASF1 清滤宝基本型.pdf,1,,
MG2100-PF10,MG2100-PF10 净雅除铅豪华型,复合/中央净水,净雅,"怡口的净水机，在原厂出厂的包装箱中应包括以下配件
净水机
旁通阀配件包
变压器
说明书 彻底检查怡口净水机，看是否有运输损坏或者是部件遗失。还应检查外箱是否有损坏。 拆除并妥善丢弃（再循环）所有包装材料。我们建议您在正式使用之前不要打开小型零配件袋。配件 的安...","变压器
说明书 彻底检查怡口净水机，看是否有运输损坏或者是部件遗失。还应检查外箱是否有损坏。 拆除并妥善丢弃（再循环）所有包装材料。我们建议您在正式使用之前不要打开小型零配件袋。配件 的安...",found,产品组件,found,配件包,MG2100-PF10 净雅除铅豪华型.pdf,../MG2100-PF10 净雅除铅豪华型.pdf,1,怡口的净水机，在原厂出厂的包装箱中应包括以下配件： （1）净水机 （2）旁通阀配件包 （3）变压器 （4）说明书 彻底检查怡口净水机，看是否有运输损坏或者是部件遗失。还应检查外箱是否有损坏。 拆除并妥善丢弃（再循环）所有包装材料。我们建议您在正式使用之前不要打开小型零配件袋。配件 的安装参照相关说明。 三、,（3）变压器 （4）说明书 彻底检查怡口净水机，看是否有运输损坏或者是部件遗失。还应检查外箱是否有损坏。 拆除并妥善丢弃（再循环）所有包装材料。我们建议您在正式使用之前不要打开小型零配件袋。配件 的安装参照相关说明。 三、
